,arima_order,mse
0,"(0, 0, 0)",0.00013291619167263231
1,"(0, 0, 1)",0.00013227835743862538
2,"(0, 0, 2)",0.00013257068627128612
3,"(0, 0, 3)",0.00013209177690562697
4,"(0, 0, 4)",0.00013266970008950696
5,"(1, 0, 0)",0.00013225849360463065
6,"(1, 0, 1)",0.00013226014974872564
7,"(1, 0, 2)",0.00013095162782290383
8,"(1, 0, 3)",0.0001316395863464834
9,"(1, 0, 4)",0.000132627468945618
10,"(2, 0, 0)",0.00013233137500319125
11,"(2, 0, 1)",0.00013185806509902513
12,"(2, 0, 2)",0.00013187675118639722
13,"(2, 0, 3)",0.0001321395278518404
14,"(2, 0, 4)",0.00013271537855808827
15,"(3, 0, 0)",0.00013192085234517626
16,"(3, 0, 1)",0.00013192186543956597
17,"(3, 0, 2)",0.0001326144451946234
18,"(3, 0, 3)",0.00013181181661290375
19,"(3, 0, 4)",0.00013256685529709907
20,"(4, 0, 0)",0.00013263306711371856
21,"(4, 0, 1)",0.0001326360735558295
22,"(4, 0, 2)",0.0001331040935933715
23,"(4, 0, 3)",0.0001328296639445923
24,"(4, 0, 4)",0.0001328809012991607
