,arima_order,mse
0,"(0, 0, 0)",0.00017483260506659617
1,"(0, 0, 1)",0.00017383322984257957
2,"(0, 0, 2)",0.00017291361538936318
3,"(0, 0, 3)",0.00017463451017956253
4,"(0, 0, 4)",0.00017551347549665567
5,"(1, 0, 0)",0.00017387200069407475
6,"(1, 0, 1)",0.0001771906809508891
7,"(1, 0, 2)",0.0001738477945520005
8,"(1, 0, 3)",0.00017463965499036314
9,"(1, 0, 4)",0.00017569066919381762
10,"(2, 0, 0)",0.0001727201585945634
11,"(2, 0, 1)",0.0001745702637792474
12,"(2, 0, 2)",0.00017413118876778236
13,"(2, 0, 3)",0.00017471111325929352
14,"(2, 0, 4)",0.00017496860404288706
15,"(3, 0, 0)",0.0001744469399085822
16,"(3, 0, 1)",0.00017445241022263184
17,"(3, 0, 2)",0.0001746113954931773
18,"(3, 0, 3)",0.0001744875840810423
19,"(3, 0, 4)",0.00017478661516453947
20,"(4, 0, 0)",0.00017533845954693786
21,"(4, 0, 1)",0.000175349333942837
22,"(4, 0, 2)",0.00017570817619452805
23,"(4, 0, 3)",0.00017584279899688455
24,"(4, 0, 4)",0.0001737923284682275
